ID;loan_amnt;term;int_rate;installment;emp_length;home_ownership;annual_inc;purpose;title;STATE;delinq_2yrs;revol_bal;revol_util;total_pymnt;loan_status
40;12500; 60 months;12.69%;282.44;1 year;RENT;27000;debt_consolidation;Credit card debt;IL;0;10143;0.5;16945.87595;0
41;9600; 36 months;7.51%;298.67;4 years;RENT;68004;other;Other Loan;SC;0;2896;0.181;10751.86997;0
42;12000; 36 months;7.90%;375.49;10+ years;RENT;62300;debt_consolidation;Debt Consolidation;NJ;0;8601;0.21;13517.36;0
46;14000; 36 months;9.91%;451.15;6 years;RENT;80000;small_business;Small Business Loan;MA;0;2219;0.134;16241.38;0
47;5000; 36 months;8.90%;158.77;10+ years;MORTGAGE;100000;debt_consolidation;Debt Consolidation for a better life;OH;0;74351;0.621;5028.87;1
48;10000; 36 months;10.65%;325.74;6 years;RENT;27000;other;Other Loan;NY;0;7814;0.523;11726.32;0
50;11000; 36 months;6.62%;337.75;5 years;RENT;70000;debt_consolidation;Debt Consolitation ;CT;0;11638;0.364;12158.61;0
51;15000; 36 months;9.91%;483.38;8 years;MORTGAGE;80000;debt_consolidation;Debt Consolidation Loan;IL;0;11845;0.637;16177.77;1
52;25600; 36 months;9.91%;824.96;9 years;RENT;110000;credit_card;Credit card refinance loan;CA;0;26088;0.62;29698.51;0
53;7000; 36 months;10.65%;228.02;< 1 year;RENT;40000;debt_consolidation;Loan 12142011;CA;0;12168;0.929;8208.410003;0
54;12000; 36 months;15.96%;421.65;4 years;RENT;50000;car;Car Loan;CA;0;15793;0.908;3531.77;1
55;12000; 36 months;9.91%;386.7;1 year;RENT;46000;credit_card;Credit Cards;TX;0;12143;0.521;13751.14474;0
56;21000; 60 months;19.91%;555.33;7 years;RENT;50000;debt_consolidation; Bill pay of;WA;0;19448;0.976;18325.89;1
57;16000; 60 months;19.91%;423.11;7 years;RENT;81000;credit_card;refinance debt;MA;0;27884;0.751;20882.09701;0
59;10000; 36 months;10.65%;325.74;2 years;RENT;51400;credit_card;My End to Bad Spending Habits Plan;TX;0;10160;0.591;10576.43411;0
60;7100; 36 months;16.77%;252.33;1 year;MORTGAGE;33000;debt_consolidation;To pay of all debt;TX;0;6021;0.912;9083.530005;0
61;13000; 60 months;12.69%;293.74;< 1 year;MORTGAGE;30000;debt_consolidation;Debt Consolidation Loan;NJ;0;17080;0.589;17402.23999;0
62;17500; 60 months;17.27%;223.74;6 years;RENT;40000;small_business;Start Up;CA;0;10724;0.589;13227.10001;0
63;17675; 60 months;14.65%;417.25;< 1 year;RENT;50000;debt_consolidation;Debt Consolidation Loan;WI;0;6661;0.574;21323.86749;0
64;8000; 36 months;16.77%;284.31;< 1 year;RENT;62000;debt_consolidation;Debt Consolidation Loan;VA;0;6088;0.669;10273.24;0
65;10000; 60 months;10.65%;215.69;10+ years;RENT;45996;debt_consolidation;Consolidation;OH;0;11170;0.301;8772.91;1
67;12500; 60 months;17.27%;223.11;5 years;RENT;30000;debt_consolidation;allen;MN;0;9844;0.708;5577.75;1
68;16425; 36 months;14.27%;563.53;4 years;RENT;44544;debt_consolidation;New Start;CA;0;15747;0.834;18174.82881;0
70;15000; 36 months;14.65%;517.42;2 years;OWN;61000;credit_card;Credit Refinance;FL;0;19397;0.795;18565.14804;0
71;20975; 60 months;17.58%;341.63;5 years;MORTGAGE;44000;credit_card;Refinance Loan;GA;0;20657;0.794;18112.46087;0
72;6400; 36 months;16.77%;227.45;5 years;RENT;75000;debt_consolidation;Help;CA;0;7159;0.675;4776.45;1
73;3000; 36 months;13.49%;101.8;1 year;RENT;33600;debt_consolidation;Credit Card Consolidation;AL;0;2745;0.832;3247.889478;0
76;12000; 36 months;14.65%;413.94;10+ years;RENT;90000;debt_consolidation;Debt Consolidation Loan;NJ;0;17116;0.785;12699.71201;0
77;11000; 36 months;13.49%;373.24;10+ years;MORTGAGE;48000;debt_consolidation;Debt Consolidation;TX;0;11382;0.65;13418.28;0
79;15000; 36 months;7.90%;469.36;1 year;MORTGAGE;52000;small_business;Small_Business Loan;TX;0;1616;0.067;15557.68008;0
82;10000; 36 months;14.27%;343.09;2 years;RENT;68000;credit_card;CC Refi Loan;PA;0;11303;0.813;10672.89443;0
84;4500; 36 months;6.03%;136.96;4 years;RENT;53000;major_purchase;Auto Loan;CA;0;8630;0.139;4930.555891;0
85;7000; 36 months;12.69%;234.82;10+ years;RENT;35000;credit_card;I pay my all credit;CA;0;7649;0.823;8453.260001;0
86;9200; 36 months;12.42%;307.43;2 years;RENT;60000;debt_consolidation;Nissan Car Loan;CA;0;23299;0.787;10482.84389;0
87;14000; 60 months;17.27%;349.98;4 years;RENT;28000;other;dental care;WA;0;6986;0.794;20998.02476;0
88;4500; 60 months;10.65%;97.06;< 1 year;MORTGAGE;42000;car;Car Loan;TX;0;8220;0.783;4910.673856;0
89;12000; 36 months;16.29%;423.61;9 years;RENT;88365;debt_consolidation;loan payoff;AZ;0;22936;0.964;14688.34153;0
91;12000; 36 months;10.65%;390.88;< 1 year;RENT;62000;credit_card;Credit Card Refinance;TX;0;20310;0.784;12780.07239;0
92;7000; 36 months;10.65%;228.02;3 years;MORTGAGE;43680;credit_card;Credit Card Consolidation;MN;0;6245;0.781;7689.273614;0
95;7000; 36 months;11.71%;231.54;4 years;OWN;39120;debt_consolidation;Emergency Loan;FL;0;9414;0.524;7933.963623;0
96;15300; 60 months;22.06%;423.1;6 years;RENT;85000;credit_card;Consolidation;VA;0;26524;0.897;25385.07915;0
98;17500; 60 months;17.27%;437.47;7 years;MORTGAGE;45000;credit_card;Debit Free;WA;0;20129;0.861;10037.7;1
100;6000; 60 months;12.69%;135.57;< 1 year;RENT;81000;major_purchase;Major Purchase Loan;CO;1;15102;0.5;8134.048298;0
101;6200; 36 months;9.91%;199.8;2 years;RENT;25000;debt_consolidation;Wells/Chase ReFi;CA;0;6533;0.477;2456.33;1
102;16000; 60 months;17.58%;402.65;7 years;RENT;65000;debt_consolidation;Debt Consolidation Loan;KS;0;21166;0.871;24011.06;0
103;6000; 36 months;8.90%;190.52;8 years;OWN;28800;debt_consolidation;Debt consolidation;NJ;0;5269;0.368;6858.700001;0
105;9500; 36 months;8.90%;301.66;7 years;MORTGAGE;50000;credit_card;Credit Card Loan;TX;0;13422;0.605;10495.82126;0
106;18825; 60 months;16.77%;465.53;10+ years;RENT;38000;debt_consolidation;Coledon's Club Loan;TX;0;11004;0.797;18749.25;1
107;24000; 36 months;10.65%;781.76;10+ years;RENT;45000;debt_consolidation;Debt Consolidation Loan;CA;0;24708;0.552;28143.25001;0
108;6000; 36 months;13.49%;203.59;10+ years;RENT;80000;debt_consolidation;smaller loan;CA;0;15499;0.838;7328.920002;0
109;6000; 36 months;13.49%;203.59;5 years;RENT;50000;debt_consolidation;Consolidate;AZ;0;15191;0.915;7328.920002;0
110;2100; 36 months;12.42%;70.18;10+ years;MORTGAGE;30000;vacation;12/2011 loan;LA;0;12183;0.829;2553.84;0
111;5500; 36 months;6.62%;168.88;8 years;MORTGAGE;110000;small_business;Computer Equipment;CT;0;14136;0.219;6079.289999;0
112;11000; 36 months;6.62%;337.75;8 years;OWN;45608;debt_consolidation;payoff;LA;0;10677;0.587;12158.61;0
113;26800; 60 months;20.89%;723.38;3 years;MORTGAGE;120000;debt_consolidation;credit loan;FL;0;14772;0.48;32895.86293;0
114;8000; 36 months;12.69%;268.36;5 years;MORTGAGE;35000;debt_consolidation;Credit Card Consolidation;IL;0;6842;0.977;9000.143229;0
115;10000; 36 months;18.25%;362.78;1 year;RENT;75000;credit_card;Credit Card;CA;0;22828;0.963;11730.6;1
116;8000; 36 months;11.71%;264.61;9 years;MORTGAGE;35000;credit_card;Consolidation Loan;NV;0;6142;0.465;9435.85818;0
117;10000; 36 months;8.90%;317.54;6 years;RENT;24000;debt_consolidation;Start Fresh 2012;CA;0;6734;0.495;10869.33055;0
118;12000; 36 months;11.71%;396.92;2 years;MORTGAGE;126000;debt_consolidation;Chase;OH;0;32711;0.541;14183.43257;0
123;10000; 36 months;9.91%;322.25;3 years;RENT;31200;debt_consolidation;Debt consolidation loan;NY;0;5540;0.27;10904.83903;0
124;13650; 36 months;12.42%;456.12;4 years;RENT;66000;debt_consolidation;Debt Consolidation;NV;0;8933;0.565;16012.11212;0
125;28000; 60 months;19.91%;312.04;10+ years;RENT;52000;debt_consolidation;Debt Consalidation;TX;0;29178;0.876;12181.32;1
126;18000; 36 months;7.90%;563.23;10+ years;RENT;56964;debt_consolidation;Debt Consolidation / Lower CC Rate;CA;0;17381;0.766;20276.0603;0
127;2500; 36 months;14.27%;85.78;7 years;RENT;49500;debt_consolidation;Money;FL;0;9868;0.377;2529.902083;0
129;35000; 36 months;8.90%;1111.37;6 years;MORTGAGE;125000;debt_consolidation;Debt Consolidation;CA;0;9051;0.348;40009.00999;0
130;10000; 36 months;7.51%;311.11;3 years;RENT;33000;credit_card;Financial Freedom;NJ;0;68;0.006;11028.3575;0
131;7000; 36 months;12.69%;234.82;< 1 year;RENT;30000;credit_card;Credit Card;VA;0;15455;0.476;8453.250717;0
132;24000; 36 months;15.96%;843.3;8 years;MORTGAGE;90000;home_improvement;home improve;CA;0;30952;0.712;5903.1;1
134;5000; 36 months;14.65%;172.48;2 years;RENT;24000;debt_consolidation;Debt Consolidation;PA;0;2429;0.333;5682.99014;0
136;6375; 36 months;7.51%;198.34;4 years;RENT;44000;debt_consolidation;Credit Cards & Laptop;GA;0;6324;0.58;6737.872873;0
137;6000; 36 months;11.71%;198.46;1 year;RENT;90000;credit_card;Credit Card;NJ;1;8489;0.566;7041.911592;0
138;11100; 36 months;6.62%;340.82;10+ years;RENT;41000;credit_card;Help me out;PA;0;17518;0.623;8124.54;1
139;10000; 60 months;12.69%;225.95;2 years;MORTGAGE;56000;debt_consolidation;Debt Consolidation;CA;0;10081;0.312;12739.07;0
140;6200; 36 months;6.03%;188.71;5 years;MORTGAGE;26500;small_business;Business Loan;WV;0;2982;0.16;6793.18285;0
141;15000; 36 months;18.64%;547.12;1 year;RENT;54000;debt_consolidation;Debt Consolidation ;GA;0;15183;0.903;19405.30244;0
142;4200; 36 months;11.71%;138.92;2 years;RENT;53000;other;Relocation Assistance;MD;0;8336;0.797;5001.080367;0
144;8875; 36 months;7.51%;276.11;1 year;MORTGAGE;38000;debt_consolidation;Credit Card Debt Consolidation;GA;0;19056;0.621;9713.561012;0
147;16000; 60 months;19.91%;423.11;4 years;RENT;55000;;;;;;;;0
150;8450; 60 months;16.77%;208.97;5 years;OWN;25000;debt_consolidation;PayCC;IL;0;17614;0.835;12206.22001;0
153;12000; 36 months;16.29%;423.61;5 years;MORTGAGE;80000;credit_card;Credit Card;GA;0;29609;0.972;14949.9047;0
154;13475; 60 months;13.49%;309.99;10+ years;RENT;25000;credit_card;Bills;CA;0;9943;0.658;6199.8;1
156;5600; 36 months;14.65%;193.17;1 year;MORTGAGE;85000;debt_consolidation;Debt Consolidation;AZ;1;6812;0.908;1352.19;1
157;12000; 36 months;14.27%;411.71;< 1 year;RENT;57000;debt_consolidation;Debt consolodation;CA;0;9273;0.815;14401.59573;0
159;8000; 36 months;9.91%;257.8;2 years;RENT;34000;credit_card;Credit Card;PA;0;7434;0.785;9280.79;0
160;8000; 36 months;12.42%;267.33;10+ years;RENT;40000;credit_card;Credit Card Loan;OR;0;18601;0.882;9623.539087;0
161;16000; 60 months;15.27%;382.92;10+ years;RENT;42656.4;debt_consolidation;debt consolidation;GA;0;12830;0.923;22394.08;0
163;10000; 36 months;9.91%;322.25;2 years;OWN;30000;debt_consolidation;Credit Card Payoff;VT;0;9152;0.668;11387.44049;0
164;10000; 36 months;6.62%;307.04;5 years;MORTGAGE;70000;credit_card;credit card payoff;NY;0;10770;0.69;10903.4743;0
165;8000; 36 months;14.65%;275.96;3 years;RENT;28000;car;Car Loan;CA;0;6187;0.543;8637.015205;0
166;22000; 36 months;9.91%;708.95;2 years;MORTGAGE;50000;debt_consolidation;High interest credit card consolidation;MI;0;21470;0.498;25523.44999;0
167;6000; 36 months;14.27%;205.86;10+ years;MORTGAGE;94800;car;Auto Loan;TX;0;71890;0.959;7217.547545;0
168;16000; 60 months;9.91%;339.25;10+ years;OWN;40000;debt_consolidation;Debt consolidation;FL;0;13270;0.285;20209.06;0
169;2500; 36 months;7.51%;77.78;n/a;OWN;12000;debt_consolidation;GET FREE OF DEBT;CA;0;4853;0.422;1838.88;1
170;13500; 36 months;9.91%;435.04;2 years;MORTGAGE;36000;credit_card;Bye Bye Credit Cards;DC;0;25011;0.672;15622.37656;0
171;25000; 36 months;12.42%;835.39;2 years;RENT;225000;debt_consolidation;Consolidation loan;NJ;1;30449;0.346;30073.68;0
172;10000; 36 months;13.49%;339.31;2 years;RENT;45900;small_business;Small Business Loan;CA;0;8936;0.483;12177.62544;0
173;2500; 36 months;13.49%;84.83;4 years;RENT;27200;debt_consolidation;zipcar;WA;0;3473;0.681;3053.71;0
174;7325; 36 months;12.69%;245.72;1 year;RENT;42000;debt_consolidation;Debt Consolidation;FL;0;7281;0.65;8845.75;0
175;4000; 36 months;12.42%;133.67;5 years;RENT;135000;credit_card;credit card consolidation;NY;0;29311;0.857;4337.425225;0
176;10000; 36 months;13.49%;339.31;5 years;RENT;65000;small_business;Small Business Loan;CA;1;14292;0.695;9270.84;1
179;9600; 36 months;12.42%;320.79;10+ years;RENT;65000;debt_consolidation;GetoutofDebt;NY;0;11279;0.709;11338.81668;0
182;13350; 36 months;12.42%;446.1;10+ years;RENT;43000;;;;;;;;0
183;15000; 36 months;16.77%;533.08;10+ years;RENT;42000;debt_consolidation;Debt Consolidation Loan;WI;0;8238;0.749;13373.77;1
184;15000; 36 months;17.27%;536.81;8 years;RENT;75000;debt_consolidation;debt consolidation;CA;0;13505;0.759;10199.39;1
185;11000; 60 months;13.49%;253.06;10+ years;MORTGAGE;129000;debt_consolidation;Breathing Room;CA;0;1735;0.241;15121.77002;0
186;35000; 36 months;10.65%;1140.07;2 years;MORTGAGE;168000;debt_consolidation;pertsonal loan;TX;1;1099;0.014;38061.50488;0
187;9000; 36 months;10.65%;293.16;9 years;MORTGAGE;74000;credit_card;Credit Card Refi;SD;0;7388;0.717;10553.74;0
188;22475; 60 months;15.27%;537.87;7 years;MORTGAGE;52000;debt_consolidation;Debt Consolidation;NH;0;18554;0.618;32080.69004;0
189;16000; 36 months;12.69%;536.72;1 year;RENT;58500;debt_consolidation;Consolidation;IL;0;26224;0.893;12295.72;1
190;13500; 36 months;12.69%;452.86;5 years;RENT;71000;debt_consolidation;Debt Consolidation;VA;0;6681;0.777;16302.76;0
193;8400; 60 months;16.77%;207.73;5 years;RENT;87996;major_purchase;Ring;NY;0;9551;0.803;12290.64001;0
194;28000; 60 months;17.58%;704.64;5 years;MORTGAGE;140000;home_improvement;70%Attached room,30%cc-loanconsolidation;NC;0;2686;0.134;28411.15;0
195;14000; 36 months;6.62%;429.86;10+ years;RENT;66000;;;;;;;;0
196;12000; 36 months;14.27%;411.71;8 years;MORTGAGE;70000;other;Debt Consolidation Loan;NY;0;11546;0.862;4249.37;1
197;25000; 36 months;11.71%;826.9;10+ years;MORTGAGE;100000;debt_consolidation;Debt Consolidation Loan;RI;0;21128;0.891;29279.4541;0
198;9000; 36 months;12.69%;301.91;5 years;RENT;50000;debt_consolidation;Debt Consolidation Loan;NY;0;12752;0.554;10868.48;0
199;13250; 36 months;10.65%;431.6;4 years;RENT;35000;debt_consolidation;Debt Consolidation Loan;OH;0;13392;0.587;15537.4;0
200;20000; 36 months;13.49%;678.61;6 years;RENT;75000;debt_consolidation;LC Loan;CA;0;19548;0.908;23865.33884;0
202;7350; 36 months;10.65%;239.42;10+ years;MORTGAGE;48000;debt_consolidation;Debt consolidation;AR;0;15587;0.775;8618.839995;0
203;11500; 36 months;15.27%;400.18;5 years;RENT;36000;debt_consolidation;Debt consolidation;FL;0;8969;0.767;14406.18999;0
204;13650; 36 months;12.42%;456.12;10+ years;MORTGAGE;86000;debt_consolidation;Debt Consolidation;CA;0;16140;0.734;8204.31;1
208;11500; 36 months;15.27%;400.18;10+ years;MORTGAGE;44200;credit_card;Credit Card;CA;0;13147;0.9;13605.53078;0
210;29500; 60 months;20.30%;786.51;6 years;MORTGAGE;83000;debt_consolidation;debt consolidation ;NM;0;22087;0.898;45755.22998;0
211;2000; 36 months;15.27%;69.6;2 years;RENT;41000;moving;moving;TX;0;18115;0.964;2520.401456;0
212;11625; 36 months;13.49%;394.45;< 1 year;MORTGAGE;36000;credit_card;CC Debt;KS;0;19979;0.847;14199.83;0
214;5300; 36 months;15.27%;184.43;1 year;RENT;30000;credit_card;Consolidate Closed Credit Accounts;CT;0;7855;0.827;6627.889998;0
215;8200; 36 months;6.62%;251.77;< 1 year;RENT;40000;home_improvement;remodel;PA;0;2573;0.255;9063.720001;0
216;12000; 36 months;12.42%;400.99;9 years;MORTGAGE;105000;credit_card;Credit Card Consolidation;TX;0;11243;0.75;14435.34999;0
218;21000; 60 months;17.27%;294.98;10+ years;MORTGAGE;109000;;;;;;;;0
219;16000; 60 months;17.27%;399.97;2 years;RENT;50000;debt_consolidation;Debt Consolidation;TX;0;15788;0.422;23997.98745;0
220;12000; 36 months;12.42%;400.99;2 years;RENT;83000;debt_consolidation;Debt Consolidation;CA;0;16550;0.511;14435.35;0
221;9500; 36 months;12.69%;318.68;< 1 year;MORTGAGE;52500;moving;Moved to California;CA;0;23729;0.753;7010.96;1
222;7400; 36 months;13.49%;251.09;< 1 year;OWN;25000;debt_consolidation;consolihappydaytion;AZ;0;5199;0.928;9039.034417;0
224;24250; 60 months;23.91%;519.76;7 years;MORTGAGE;120000;debt_consolidation;Debt Consolidation;AZ;0;31992;0.99;22206.82132;0
225;7200; 36 months;7.90%;225.29;3 years;RENT;68000;debt_consolidation;Bank of America Pay-Off Loan;GA;0;8783;0.829;7738.96;1
227;7000; 60 months;11.71%;154.69;6 years;MORTGAGE;69600;credit_card;Debt consolidation;WA;0;45449;0.909;6143.14;1
230;19600; 36 months;12.42%;654.94;2 years;RENT;75000;credit_card;Personnel Loan;NY;0;20355;0.501;21996.45731;0
231;2500; 36 months;11.71%;82.69;7 years;MORTGAGE;29000;debt_consolidation;debt;AZ;0;2668;0.667;2896.888187;0
233;10000; 36 months;6.62%;307.04;5 years;RENT;45000;credit_card;Credit Card;OH;0;10133;0.704;11053.31;0
234;4225; 36 months;12.42%;141.18;5 years;MORTGAGE;55200;other;Other;WA;0;4055;0.737;5082.460001;0
235;3500; 36 months;7.90%;109.52;7 years;MORTGAGE;61440;vacation;extra cash for vacation;CA;1;15472;0.555;3942.557993;0
236;12000; 36 months;6.62%;368.45;10+ years;MORTGAGE;56000;debt_consolidation;Debt Consolidation;FL;0;9873;0.803;13263.96;0
238;22000; 60 months;21.67%;603.5;< 1 year;RENT;55000;debt_consolidation;Debt consolidation ;WA;0;20154;0.794;25029.21535;0
239;12000; 36 months;14.65%;413.94;1 year;RENT;71000;;;;;;;;0
240;15600; 60 months;12.69%;352.48;10+ years;RENT;50000;vacation;vacation loan;NY;0;8079;0.357;17152.34;1
241;10800; 36 months;12.42%;360.89;8 years;RENT;135000;credit_card;Paying off Credit Cards;CA;0;18467;0.745;13007.71999;0
242;14000; 36 months;12.42%;467.82;10+ years;MORTGAGE;63000;credit_card;Credit Card Refi 2011;GA;0;17212;0.978;16793.82458;0
243;18825; 60 months;17.58%;473.75;4 years;MORTGAGE;44000;debt_consolidation;Debt Consolidation;NY;0;14092;0.932;28424.10406;0
244;6000; 36 months;13.49%;203.59;5 years;MORTGAGE;50000;debt_consolidation;Consolidation loan;NM;0;7361;0.836;7328.920002;0
245;12000; 36 months;9.91%;386.7;5 years;RENT;80000;debt_consolidation;CC Consolidation;TX;0;17536;0.677;13909.61999;0
246;10000; 36 months;12.42%;334.16;4 years;RENT;45000;debt_consolidation;payoff credit cards;WA;0;10177;0.516;12029.45;0
247;8000; 36 months;7.90%;250.33;2 years;RENT;78000;vacation;vacation;NY;0;15988;0.559;8847.221069;0
248;14125; 36 months;9.91%;455.18;1 year;RENT;33000;debt_consolidation;Debt Consolidation;OR;0;19472;0.66;16058.32565;0
249;14000; 36 months;12.69%;469.63;5 years;RENT;62800;debt_consolidation;Credit Card Consolidation;WA;0;13579;0.645;16902.98001;0
250;13200; 60 months;17.27%;224.36;3 years;RENT;26400;;;;;;;;0
251;4000; 36 months;19.03%;146.69;10+ years;MORTGAGE;80000;vacation;Loan2011;NC;1;6654;0.226;4341.504299;0
252;4000; 36 months;12.69%;134.18;2 years;RENT;25000;debt_consolidation;Car loan;CO;0;8546;0.797;2029.25;1
253;10500; 36 months;6.03%;319.58;10+ years;MORTGAGE;65000;debt_consolidation;Credit Card Consolidation;TX;0;10729;0.187;11504.35;0
254;5500; 36 months;7.90%;172.1;10+ years;OWN;59000;car;Car Loan;PA;0;9130;0.433;6172.07856;0
255;7350; 36 months;11.71%;243.11;1 year;RENT;33000;debt_consolidation;Credit card payment;CA;0;24782;0.779;8728.625013;0
256;10000; 36 months;12.42%;334.16;10+ years;RENT;39000;credit_card;credit card consolidation;MO;0;11691;0.906;11604.88;1
257;12000; 36 months;7.51%;373.33;10+ years;RENT;42000;debt_consolidation;debt consolidation;OH;0;18913;0.43;13459.56667;0
258;5000; 60 months;11.71%;110.5;5 years;MORTGAGE;38004;home_improvement;Floor;MI;0;10023;0.573;6534.43;0
259;8000; 60 months;11.71%;176.79;3 years;OWN;31000;;;;;;;;0
260;4500; 36 months;8.90%;142.89;10+ years;MORTGAGE;50700;other;restore classic car;NC;0;9127;0.244;5051.236671;0
261;18000; 36 months;12.42%;601.48;1 year;OWN;75000;credit_card;Paydown CC Loan;LA;0;14810;0.661;21634.66001;0
262;12300; 60 months;13.49%;282.96;2 years;MORTGAGE;30000;debt_consolidation;no more bills;MT;0;10981;0.555;16945.79999;0
263;12000; 36 months;13.49%;407.17;6 years;RENT;40000;debt_consolidation;Debt Consolidation;GA;0;10790;0.805;12762.81967;0
264;10000; 36 months;13.49%;339.31;10+ years;MORTGAGE;50000;credit_card;CC refi;CA;1;8899;0.476;12082.61063;0
265;6000; 36 months;7.90%;187.75;7 years;MORTGAGE;80000;other;Snowmobile Purchase;WI;0;19071;0.303;6633.907565;0
267;12000; 36 months;8.90%;381.04;7 years;RENT;80000;other;credit card consolidating;CA;0;13088;0.835;10411.4;1
268;7000; 36 months;11.71%;231.54;2 years;RENT;75000;debt_consolidation;Consolidation;CA;0;22196;0.941;8335.090002;0
270;1400; 36 months;7.90%;43.81;1 year;RENT;28800;other;auto repair;FL;0;2016;0.099;1478.900477;0
271;16000; 60 months;13.49%;368.08;10+ years;RENT;35000;small_business;Small Business;NC;0;19184;0.585;10351.24;1
272;3200; 36 months;9.91%;103.12;9 years;RENT;61200;debt_consolidation;Card's;CA;0;2795;0.333;3711.14;0
274;11875; 60 months;12.69%;268.32;< 1 year;RENT;25920;debt_consolidation;Debt Consolidation Loan;CA;0;13932;0.941;1187.65;1
275;5000; 36 months;6.03%;152.18;9 years;MORTGAGE;54000;;;;;;;;0
276;1800; 36 months;6.62%;55.27;10+ years;RENT;18000;small_business;Salt Spreader;MI;0;1792;0.398;1880.260813;0
278;18000; 36 months;8.90%;571.56;5 years;RENT;78000;credit_card;Post College Credit Card Refinance;NY;0;17769;0.663;19886.52562;0
280;5000; 36 months;12.42%;167.08;2 years;RENT;70000;debt_consolidation;Debt Consolidation Loan;TX;0;13543;0.542;5501.552292;0
281;8000; 36 months;15.96%;281.1;4 years;RENT;70000;credit_card;CC Payoff;IL;0;24072;0.919;9998.939479;0
282;10000; 36 months;6.03%;304.36;9 years;MORTGAGE;80000;debt_consolidation;personal loan.;MA;0;27644;0.452;10840.60453;0
283;10000; 36 months;7.51%;311.11;5 years;RENT;50000;debt_consolidation;Debt consolidation;NJ;0;6592;0.257;11021.30568;0
284;12000; 36 months;12.42%;400.99;10+ years;MORTGAGE;35000;debt_consolidation;debt for debt;CO;0;8198;0.757;14435.35;0
285;23200; 36 months;7.90%;725.94;3 years;MORTGAGE;65000;debt_consolidation;Wiping off 6 ccards in 1 lower rate ;MI;0;36381;0.47;24554.56476;0
286;18000; 60 months;15.27%;430.78;1 year;MORTGAGE;84000;credit_card;Pay off credit card;CT;0;22542;0.832;25846.26844;0
